"type","type1","ask"
"__label__0","未知","不 要   放   芒 果   ，   过 敏   ，   谢 谢"
"__label__0","未知","我   还 是   觉 得   这 个   好 点   ，   你 们   反 正   是   做   的   ，   又   不 是   做 好   的   ，   你   就   做   的   时 候   换   个 别   的   放   呗"
"__label__0","未知","那 好   吧   ，   其 他   的   不 要   放 哟   。"
"__label__1","预约时间","不 要   送   那 么   早   ，   要   在   7   点 多   送 来"
"__label__0","未知","你 好"
"__label__0","未知","可 以   给   我   开 张   发 票   吗"
"__label__0","未知","订 单 号   ：   1 2 2 4       0 0 2 7       0 7 8 4       9 1 9 2       6 3"
"__label__0","未知","好   的   谢 谢"
"__label__0","未知","因 为   只 有   两 个   人   吃"
"__label__0","未知","明 天   朋 友   生 日   ，   想   给   他   一 个   惊 喜"
"__label__0","未知","我   想   选 择   这 个   款"
"__label__0","未知","但 是   只 要   1   磅   的   大 小"
"__label__0","未知","请 问   可 以   吗   ？"
"__label__0","未知","因 为   这 个   有 点   大   了"
"__label__0","未知","你 们   是   有   小 熊   [   表 情   ]   送 货 上 门   并   跳 舞   的 吧   ？"
"__label__1","预约时间","上 午   可 以   配 送   么   ？"
"__label__0","未知","秋 燕   ：   生 日 快 乐   、   每 天   好   心 情   ～"
"__label__0","未知","已   超 时   1 0   几 分 钟   了   ，   怎 么 回 事   ？"
"__label__0","未知","看 看   你 们   几 点   送 到   ，   昨 晚   订   的   蛋 糕   ，   尽 然   也   能   超 时   这 么   多"
"__label__0","未知","你 们   显 示   1 6   点   2 0   分 配   送   ，   在   常 温 下   放 置   时 间   太 长   不 会   影 响   蛋 糕   品 质   吗"
"__label__0","未知","你 们   整 整   晚   了   8 0   分 钟"
"__label__0","未知","老 板"
"__label__0","未知","在   吗"
"__label__0","未知","祝 福 语   帮   我   写   一 下"
"__label__0","未知","写   老 婆   生 日 快 乐"
"__label__0","未知","老 婆   ，   生 日 快 乐"
"__label__0","未知","谢 谢   了"
"__label__0","未知","好"
"__label__0","未知","你 好"
"__label__0","未知","你 们   的   客 服   电 话"
"__label__0","未知","你 好"
"__label__1","预约时间","我   这 个   七 点   送 到   就   可 以   噢"
"__label__1","预约时间","现 在   就   配 送   了   吗"
"__label__1","预约时间","那   要 不 然   1 9 . 1 0   -   2 0   ：   1 0   可 以   吗"
"__label__0","未知","？   ？   ？"
"__label__0","未知","你 好"
"__label__1","预约时间","我   还   没 要   配 送   呢"
"__label__1","预约时间","你 好   ，   七 点   能   送 嘛   ？"
"__label__0","未知","你 好   ，   刚 刚   打 电 话   给   我   确 认   蛋 糕   配 送   时 间   的   来 电 显 示   是   惠 州   ，   帮   我   确 认   一 下   送 货   地 址   是   深 圳   大 浪   福 轩   新 村   ？   谢 谢"
"__label__0","未知","嗯   嗯"
"__label__0","未知","是   的"
"__label__0","未知","谢 谢"
"__label__0","未知","你 好"
"__label__1","预约时间","蛋 糕   能 否   晚 点   到"
"__label__1","预约时间","可 以   1 9   ：   3 0   过 后   ，   2 0   ：   0 0   前"
"__label__0","未知","是   的"
"__label__0","未知","发   地 址   给   我   确 认   一 下"
"__label__0","未知","到 时 候   改   一 下   地 址"
"__label__0","未知","要"
"__label__0","未知","番 禺   钟   村 镇   雄 峰 城   海 底   捞"
"__label__0","未知","好   ，   谢 谢"
"__label__0","未知","还   没 到   ？   ？   ？"
"__label__1","预约时间","蛋 糕   是   1 2   ：   4 0   准 时   送 到   吗"
"__label__0","未知","您 好"
"__label__0","未知","是 不 是   任 意   选   一 款   ，   都   有   小 熊   唱 歌   的"
"__label__0","未知","我   也   是   在   钟 村"
"__label__1","预约时间","大 概   几 点   能   送 到"
"__label__0","未知","在   吗"
